la zona	area (not "el área")
el entrenamiento	training (coaching) (not capacitación)
la vena	vein
tradicionalmente	traditionally
el estreno	premiere
el esplendor	splendor
la decena	ten (units of ten)
oportuno	timely
la pretensión	pretension; aim, intention
provisional	provisional
el sendero	path (s.., not "la senda")
el suministro	supply
resumir	to summarize
el profeta	prophet
mortal	mortal
maya	mayan
la lente	lens
el gigante	giant
la escasez	scarcity, shortage
la furia	fury
bíblico	biblical
la competición	competition (not "el certamen"), contest
ausente	absent
distante	distant, remote (d...)
evocar	to evoke
la disminución	decrease
lírico	lyric
el protector	protector
el pescador	fisherman
la oveja	sheep
reventar	to burst
integral	comprehensive, complete (i...)
la erosión	erosion
exportar	to export
ferroviario	rail, railway, railroad (Adj.)
la decadencia	decadence
adulto	adult
la prenda	garment
la preferencia	preference
progresivo	progressive
sancionar	to sanction, to penalize
el hábitat	habitat
la medalla	medal
austriaco	Austrian
batir	to beat, whisk, whip
bizantino	Byzantine; pointless
entrevistar	to interview
la taza	cup; mug
la transferencia	transfer (not traslado)
enemigo	enemy
la finalidad	purpose (not propósito)
el cruce	crossing, crossroads, intersection
la casualidad	coincidence, chance (not coincidencia)
la llama	flame
la mutación	mutation
la ira	anger, rage (i..)
rematar	to conclude (not concluir)
la recepción	reception
suprimir	to suppress
simpático	nice (not agradable)
precipitar	to hasten, to precipitate
la partitura	score (musical)
el portero	doorman
la prima	bonus; female cousin
proveer	to provide, to supply, to fill (not proporcionar or suministrar)
pues	well (not bien)
la muralla	wall (of a city)
el asombro	astonishment
decorativo	decorative
la farmacia	pharmacy
transferir	to transfer (not trasladar)
el uranio	uranium
la diana	target (not "el blanco"); bull's-eye
el cerdo	pork, pig (not "el puerco")
el mosaico	mosaic
el invitado	guest
la intimidad	privacy (not "la privacidad"), private life; intimacy
independientemente	independently
la identificación	identification; ID card
indirecto	indirect
la queja	complaint
radiactivo	radioactive
pardo	brown, dark grey
el pasto	pasture
la piedad	mercy (not merced)
expresivo	expressive
ensayar	to rehearse
específicamente	specifically
la coordinación	coordination
el cazador	hunter
el cohete	rocket
conmover	to move (emotion)
ampliamente	amply, widely, easily
lamentable	regrettable
la  latitud	latitude
tardío	late (during an era); late in life; belated
implantar	to implant, to introduce
liso	smooth, even, straight
la pauta	guideline (not "la directriz"), rule, standard, pattern
cocinar	to cook, prepare meals
la dinámica	dynamics
el dramaturgo	playwright
el elector	voter (not votante)
emerger	to emerge
claudio	claudio
aburrir	to bore
el rancho	ranch
el pollo	chicken
el reclamo	claim, complaint, call
la rivera	brook (not arroyo)
el helicóptero	helicopter
indudablemente	undoubtedly
la reconstrucción	reconstruction
recto	straight
soplar	to blow
el original	original
la distinción	distinction
el terremoto	earthquake
voluntario	voluntary
el ciego	blind man
perjudicar	to damage (p..)
el inmigrante	immigrant
guerrero	warlike (not bélico)
la gramática	grammar
idéntico	identical
héctor	hector
herir	to wound
indiferente	indifferent
el levantamiento	uprising (not revuelta)
plantar	to plant
el grupo	group   (g..)
alegar	to allege
el encaje	lace
el encanto	charm
funcional	functional
flaco	skinny
el artesano	craftsman
el complemento	complement
la biografía	biography
el monopolio	monopoly
la monja	nun
el muslo	thigh
improvisar	to improvise
el cometa	comet
la arcilla	clay
aplicado	diligent (not diligente)
exquisito	exquisite, delicious
favorito	favorite
espontáneo	spontaneous
destrozar	to destroy (not destruir)
la controversia	controversy
la contradicción	contradiction
el turco	Turkish (language); Turk
el cromosoma	chromosome
insuficiente	insufficient
nadar	to swim
la pistola	gun
el químico	chemist, chemical
supuestamente	supposedly
rodrigo	rodrigo
el entendimiento	understanding (not "la comprensión")
el equivalente	equivalent
fundir	to melt
la aguja	needle
el acta	minutes (eg. of a meeting)
ciego	blind (person)
la carencia	lack (not falta)
la charla	chat
la complejidad	complexity
la concha	shell
el romanticismo	romanticism
polaco	Polish (nationality)
maduro	mature
el temblor	tremor, shaking; earthquake
el manto	cloak (not capa)
el instinto	instinct
Indonesia	Indonesia
perteneciente	belonging, pertaining
el ascenso	ascent (not subida)
el astrónomo	astronomer
frecuentemente	frequently
el dictador	dictator
el bando	faction (not la facción), side
adolfo	adolf
el budismo	buddhism
peculiar	peculiar
la rutina	routine
la redacción	writing (not "la escritura"), editing; editorial office/team; essay
la invención	invention
obviamente	obviously
la niebla	fog
mojado	wet
geométrico	geometric
el rebelde	rebel
prestigioso	prestigious
el amo	master (not maestro)
la cooperativa	cooperative
el desayuno	breakfast
flamenco	flamenco
fluvial	river
estrictamente	strictly
bélico	war, warlike (not guerrero)
el romance	romance
la siesta	nap
ilustrado	illustrated
injusto	unfair
prevenir	to prevent
paco	paco
el bebé	baby (not nene)
la correspondencia	correspondence
el vídeo	video (Sp.)
expandir	to expand
cazar	to hunt
el atleta	athlete
simultáneamente	simultaneously
el inconveniente	drawback, disadvantage, problem (not desventaja or problema)
el nudo	knot (not "el lazo")
obligatorio	compulsory
el hemisferio	hemisphere
periódico	periodic
el rastro	trail, trace
entretener	to entertain, to amuse (not divertir)
la tortuga	turtle
la tarifa	rate, tariff (not tasa)
estremecer	to shake, to shiver (not temblar)
demorar	to delay (d..)
de	of
el dulce	candy
eclesiástico	ecclesiastical
el alza	rise, increase (not aumento or incremento)
el pulso	pulse
el rector	rector
mutuo	mutual
la inscripción	inscription
el religioso	member of a religious order
el secuestro	kidnapping (not "el rapto"); hijack
el chileno	Chilean (person)
la eliminación	elimination
fascinar	to fascinate
la transparencia	transparency
la vocal	vowel
diferir	to defer (postpone); to differ
la probabilidad	probability
periodístico	journalistic
ortodoxo	orthodox
inquieto	worried (not preocupado)
licenciar	to license, to discharge
persistir	to persist
la portada	title page, cover; homepage
proveniente de	coming from (not "procedente de"); originating from
riguroso	rigorous
el cilindro	cylinder
adorar	to adore
el aviso	notice, warning (not "la advertencia"); advert
el embarazo	pregnancy
la extinción	extinction
el estrecho	strait
bloquear	to block
la reelección	reelection
sergio	sergio
tamaño	such a big, so big a
el psicólogo	psychologist
racional	rational
el porvenir	future (not futuro)
el peruano	Peruvian (person)
el marcador	scoreboard; highlighter pen (Lat Am)
verter	to pour
teñir	to dye
la prevención	prevention
bruto	ignorant
el ayudante	assistant (not asistente)
la aldea	village
la caballería	cavalry
el certamen	competition (not "la competición"), contest
el frijol	bean (f..)
crudo	raw
el pionero	pioneer
suavemente	gently
la seña	sign, gesture (not signo or señal)
el retraso	delay (not "la demora")
el nombramiento	appointment, nomination
volcánico	volcanic
querer	to want, to love, to like
geológico	geological
extremadamente	extremely (not sumamente)
erguir	to erect
el ademán	gesture (not gesto)
el as	ace
arrebatar	to snatch
el cereal	cereal
la cocaína	cocaine
concretar	to concrete
el cumpleaños	birthday
disimular	to cover up, to conceal (d..), to dissemble
el determinante	determinant
el desplazamiento	displacement
suscribir	to sign (a formal document) (not firmar)
reservado	reserved
referente	regarding
guatemalteco	Guatemalan
la municipalidad	municipality (not municipio)
mensual	monthly
la narrativa	narrative
el noble	nobleman
la inclinación	inclination
susana	susan
sereno	serene
procesar	to process
la pirámide	pyramid
la corbata	tie (clothing), necktie
exagerar	to exaggerate
fotográfico	photographic
el comunismo	communism
la cercanía	closeness
el ascensor	elevator
atmosférico	atmospheric
la vereda	path (v..)
verificar	to verify
la ventura	(good) fortune (not fortuna)
el terminal	terminal (electrical; computer)
cinematográfico	movie (Adj.)
la ganadería	stockbreeding
enredar	to get tangled up
costoso	costly
delicioso	delicious
la princesa	princess
gratuito	free, gratuitous, unfair
el láser	laser
la injusticia	injustice
el nacionalismo	nationalism
el molde	mold  (in art, cooking)
Olimpia	Olympia
la indiferencia	indifference
lateral	side, lateral
irlandés	Irish
la imprenta	printing (the activity); printing press; printing house
la hormiga	ant
sentimental	sentimental
el tramo	section (not "la sección"), stretch, span; flight (of stairs)
tímido	shy, timid
la víspera	eve
la suspensión	suspension
el récord	record
repleto (de)	packed (with), filled (with)
prevalecer	to prevail
la perla	pearl
el grabado	engraving
el gusano	worm
la maniobra	maneuver
la expulsión	expulsion
el borracho	drunkard
acertar	to guess right
el atardecer	dusk (a.., not "el anochecer"), evening
la coincidencia	coincidence (temporal, not random) (not casualidad); agreement
frágil	fragile
el demócrata	democrat
compacto	compact
el bigote	mustache
la acera	sidewalk, pavement
natal	native (not "nativo"), home; of or related to birth
presenciar	to witness
el vicio	vice
unificar	to unify
la procesión	procession
el párpado	eyelid
satisfactorio	satisfactory
obvio	obvious
el neutrón	neutron
materno	motherly
Miguel	Michael
Catalina	Catherine
la gala	gala
flexible	flexible
ficticio	fictitious
el diamante	diamond
desbordar	to overflow
la comodidad	comfort
agravar	to aggravate
la niñez	childhood (n...)
la minería	mining industry
informático	(of the) computer, (related to the) computer
resbalar	to slip (not "deslizar")
retomar	to take back again
el partidario	supporter
la plantación	plantation, planting
la privatización	privatization
el rescate	rescue
la mecánica	mechanics
el banquero	banker
criminal	criminal (not "penal")
exiliar	to exile
la esclavitud	slavery
contaminar	to contaminate
la deficiencia	deficiency
el montaje	assembly (mechanical process), assembling
la sabiduría	wisdom
perfeccionar	to perfect
la tolerancia	tolerance
el traslado	transfer (not transferencia)
la tregua	truce
registrado	registered
desencadenar	to unchain, to trigger
el elefante	elephant
fértil	fertile
el fuerte	fort
el ganadero	rancher (not ranchero)
el conquistador	conqueror
alternativo	alternative
el chorro	jet, spurt, stream
enfriar	to cool
reparar	to repair (not arreglar)
el recorte	cutting
el sedimento	sediment
interrogar	to interrogate
la incorporación	incorporation
molesto	annoying
la modernización	modernization
místico	mystic
la marea	tide
fabuloso	fabulous
la cueva	cave
debatir	to debate
coordinar	to coordinate
el compatriota	compatriot
tolerar	to tolerate
la variable	the variable
bordar	to embroider
fiel	faithful
la sequía	drought
la sustitución	replacement (not "el reemplazo"), substitution
retratar	to paint a portrait of
el limón	lemon
el intervalo	interval
el lápiz	pencil
la ginebra	gin
ilícito	illicit
insólito	unusual (not inusual)
la raya	line (not fila or línea)
continuamente	continually
la cotización	price, quotation, value (c...)
el abrigo	coat
el adversario	adversary
velar	to watch over (not vigilar)
vago	lazy (v...)
la tontería	nonsense, silly thing (not "el disparate" or "la sandez")
el whisky	whisky
tierno	tender
el atractivo	attractiveness
la cadera	hip
el dióxido	dioxide
silvestre	wild
influyente	influential
graduar	to graduate
el hígado	liver
inconsciente	unconscious
sincero	sincere
el dialecto	dialect
el constructor	builder
la financiación	funding
genial	brilliant, great (not magno)
el encargado	person in charge, manager
la bestia	beast
la clausura	closing, closure (not cierre)
asimilar	to assimilate
tenso	tense
la brigada	squad (b...)
el formato	format
la reja	grille/grill, (metal) bars
remediar	to remedy
persa	Persian
la pasta	pasta
la iluminación	lighting
la mención	mention
moderado	moderate (not "módico")
narrativo	narrative
la localización	location (not localidad or ubicación)
incómodo	uncomfortable
la ironía	irony
replicar	to answer back, to reply (not contestar or responder)
el cigarro	cigarette (not cigarrillo)
ardiente	ardent
apresurar	to hurry up
el apartamento	apartment (US), flat (UK)
voltear	to turn over
alternar	to alternate
la alerta	alert
el comunicado	statement, announcement (not anuncio)
el bulto	bulk (not "el grueso")
Beatriz	Beatrix
espantoso	horrific (e...)
la seriedad	seriousness
la sonata	sonata
sofisticado	sophisticated
partidario	in favor of; supportive; favorable
la inocencia	innocence
intercambiar	to exchange
miserable	miserable
la porcelana	porcelain
revolver	to stir, turn
enojar	to anger, to irritate (Lat Am) (not "enfadar")
el escaño	seat (political), bench
la estética	aesthetics
la documentación	papers (not "los papeles"), documentation
el carnaval	carnival
alquilar	to rent
apretado	tight (not "estrecho"), cramped
salino	saline
repentino	sudden (not "súbito")
recobrar	to recover (not "recuperar" or "convalecer")
gris	gray/grey
la venganza	revenge
trepar	to climb (not "escalar")
heroico	heroic
la incidencia	incident (not incidente or suceso)
Lucas	Lucas
remitir	to remit
el rocío	dew
radicar	to stem from
el adorno	ornament (not "el ornamento")
el estallido	explosion (not explosión)
la gasolina	gasoline
Fernanda	Fernanda
coronar	to crown
el barroco	Baroque period
la boleta	ticket, pass, entry (b.., not billete or boleto)
profundizar	to deepen
la revuelta	uprising, revolt (not levantamiento)
la nacionalidad	nationality
oceánico	oceanic
gisela	giselle
la inauguración	inauguration
la manga	sleeve, water-hose, pipe
el sufragio	suffrage
el representante	representative
complementario	complementary
Bach	Bach
decretar	to decree
la detención	arrest (not "el arresto")
la demostración	demonstration
el futbolista	soccer player
ambicioso	ambitious
recaer (en)	to have a relapse
sudar	to sweat
sintetizar	to synthesize
el parlamentario	parliamentarian
la patada	kick
Leonardo	Leonard
el teólogo	theologian
el tenis	tennis
la traición	betrayal, treachery; treason
hacer	to do, to make
el pleno	plenary
el azufre	sulphur
el caucho	rubber (c...)
complacer	to please (not agradar)
el comprador	buyer
la carreta	cart
animado	lively
furioso	furious
el convento	convent
duplicar	to duplicate
el semestre	semester
la secta	sect
rozar	to brush, brush against, graze
el lío	mess
el televisor	television (device)
el triángulo	triangle
el nutriente	nutrient
ilustre	distinguished (i...)
secuestrar	to kidnap (not "raptar"); to hijack
disfrazar	to disguise, to dress up
Esteban	Stephen
el aniversario	anniversary
la acumulación	accumulation
la advertencia	warning (not "aviso")
la cobertura	coating, coverage
configurar	to configure
el cartón	cardboard (stiff material); carton
el capricho	whim
la especulación	speculation
el servidor	servant (not sirviente)
sonriente	smiling
rítmico	rhythmic
regular	regular
el peón	laborer
paraguayo	Paraguayan
razonable	reasonable
imaginario	imaginary
el inca	Inca
la noción	notion
insoportable	unbearable
públicamente	publicly
pegado	stuck, glued
solemne	solemn
contrastar	to contrast
la frustración	frustration
la caricia	caress
considerablemente	considerably
cómico	comic
la aurora	dawn (not alba, amanecer, or madrugada)
la abeja	bee
el alga	seaweed
el alba	dawn (not amanecer, aurora, or madrugada)
la flauta	flute
extinguir	to extinguish
espantar	to frighten, to scare (not asustar)
constituyente	constituent
el divorcio	divorce
la sopa	soup
el reportaje	article (not artículo), story, report
reprimir	to repress
plácido	placid
Praga	Prague
previamente	previously (not anteriormente)
el instrumental	instruments, tools, equipment (singular)
el hablante	speaker (not "el orador")
la granja	grange, farm (not finca)
la tortura	torture
el reportero	reporter, TV news correspondent
el rock	rock (music)
la silueta	figure, shape, form, silhouette
sobrepasar	to surpass, to exceed (not exceder)
dinámico	dynamic
el coraje	courage
coser	to sew
enormemente	enormously
la excusa	excuse
almorzar	to have lunch
adherir	to adhere
la cima	top, summit, peak (not cumbre)
competitivo	competitive
el conservatorio	conservatory
la careta	mask (not máscara)
el campamento	camp
el alivio	relief (from pain or worry)
la erupción	eruption
esencialmente	essentially
el contorno	contour, outline
divisar	to make out
la previsión	precaution, foresight
el portador	carrier, bearer
la paja	straw
huy	ouch
el laberinto	labyrinth
lamentablemente	regrettably
el ion	ion
inocente	innocent
indefinido	undefined
el oriental	Easterner; Oriental (person); Uruguayan (person)
el oyente	listener
el chocolate	chocolate
el textil	textile
el tranvía	streetcar, tram
la tapa	lid
volcar	to knock over (not "tumbar")
ansioso	anxious, eager
arriesgar	to risk
embarcar	to embark
el resumen	summary
recubrir	to coat, to cover, to apply a coat to (r..)
el jugo	juice (not zumo)
germánico	germanic
magno	great (not genial)
sordo	deaf
la plancha	iron (for clothes); griddle/pan (for cooking on a flat metal surface)
la aproximación	approximation
la combustión	combustion
el tinte	dye
la textura	texture
el cómplice	accomplice
la ceja	eyebrow
Bulgaria	Bulgaria
la cabecera	headboard
el bono	voucher; (bus) pass; bond (finance)
el aislamiento	isolation; insulation
económicamente	financially
francamente	frankly
moro	Moorish
el humano	human being
impartir	to impart
ilustrar	to illustrate
el invasor	invader
Isaac	Isaac
el indicio	sign, indication (i.., not "la indicación")
hervir	to boil
la negativa	denial
el malestar	discomfort (not "la incomodidad")
súbito	sudden  (not "repentino")
reservar	to reserve
el saber	knowledge (not conocimiento)
aislar	to isolate
la alarma	alarm
acuático	aquatic
la caridad	charity
trescientos	three hundred
la calificación	mark, grade, rating
la araña	spider
deteriorar	to deteriorate
el rol	role (not "papel")
el pigmento	pigment
predecir	to predict
la merced	mercy (not piedad)
el isótopo	isotope
insinuar	to insinuate
el matemático	mathematician
liderar	to lead (not "dirigir")
Leopoldo	Leopold
libremente	freely
el sólido	solid
cortés	courteous, polite
enloquecer	to go crazy (not "volverse loco"), to drive crazy
enfocar	to focus
la balanza	scales (not "la báscula")
bárbaro	barbaric
la bicicleta	bicycle
la brisa	breeze
budista	buddhist
la catástrofe	catastrophe
el cinturón	belt
el aula	classroom
arrugar	to crease
el descontento	discontent
el desconocido	stranger, unfamiliar person (not extraño)
el susto	fright, scare
recostar	to lean
planificar	to plan (not planear)
Nigeria	Nigeria
el optimismo	optimism
hereditario	hereditary
el guante	glove
el inocente	innocent (Noun)
la inestabilidad	instability
la pupila	pupil (of the eye)
descargar	to unload; to download
digital	digital
el ecosistema	ecosystem
constructivo	constructive
la autorización	authorization
comportar	to entail
la urna	urn
el trayecto	journey (not recorrido or viaje)
la vitamina	vitamin
la autopista	highway, freeway (not carretera)
el consorcio	consortium
el cuarteto	quartet
el procurador	attorney, lawyer (not abogado)
manipular	to manipulate
la motivación	motivation
migratorio	migratory
la ladera	hillside
la lealtad	loyalty
gramatical	grammatical
el gitano	gypsy
pictórico	pictorial
reportar	to report (not informar)
enfatizar	to emphasize, to stress (e...)
el declive	decline
deducir	to deduce
el domicilio	residence (not "la residencia"), home, address
congelar	to freeze (food)
el conejo	rabbit
la chimenea	chimney
el bote	container, jar, can, tin (not lata); small boat
vegetal	vegetable (of plants)
el terrorista	terrorist
la capacitación	training (education) (not entrenamiento)
el arco	arch
agradar	to please (not complacer)
la anatomía	anatomy
discurrir	to pass, to flow, to roam, to concoct
decidido	determined, resolute (not determinado or resuelto)
convivir	to live together
equipar	to equip
filtrar	to filter
el rollo	roll (as in: toilet roll; roll of body fat); scroll
respetuoso	respectful
el resplandor	brightness, glare (not brillo)
soso	dull, boring (not "aburrido")
porteño	from the city of Buenos Aires
propio	own
incidir (en)	to stress, emphasize [esp. a theme or topic] (i...)
iniciado	initiated
húngaro	hungarian
la grandeza	greatness
el mango	handle (e.g. knife, pan) (not "picaporte")
privilegiado	privileged
el sirviente	servant (not servidor)
la sílaba	syllable
fundamentar	to found, to base, to establish (f.., not "fundar")
el duelo	mourning (not "el luto"), duel
la verdura	vegetable (v.., not "el vegetal")
la abundancia	abundance
la tentación	temptation
la valoración	valuation
vocal	vocal
vibrar	to vibrate
la vibración	vibration
venezolano	venezuelan
ahorrar	to save (money)
automáticamente	automatically
el asesino	murderer
dimitir	to resign (not "renunciar")
escocés	Scottish
el estatuto	statute
la rotación	rotation
productor	producing
la porción	portion
la pureza	purity
el desnudo	nude
conducir	to conduct, drive, manage
decidir	to decide
comprender	to comprehend, understand (not entender)
necesitar	to need
preferir	to prefer
dormir	to sleep
andar	to walk, to go (a...)
fuerte	strong
llorar	to cry, to weep
contener	to contain
reducir	to reduce
descubrir	to discover
imaginar	to imagine
crecer	to grow
mal	bad, wrong
justo	just, fair
cumplir	to fulfill, to comply
típico	typical, characteristic
el empate	tie (game)
emocionar	to excite, to thrill, to move (feelings)
fingir	to feign, to pretend
animal	animal (Adj.)
la muestra	indication (m..), sign, proof, demonstration, sample, model, pattern
la figura	figure, shape
amanecer	to dawn; to wake up
ganar	to win
el cabo	cape [geography]
la película	film
abril	April
fácil	easy
agosto	August
en	in, inside; on, on top of
extraño	strange (not "raro")
noviembre	November
la trama	plot, storyline (not " el argumento")
el nene	baby (not bebé)
el camino	track (c..); road
el baño	bathroom
actual	current, present
la voluntad	will, willpower
siguiente	following, after
el trago	alcoholic drink
la lengua	tongue, language
la mañana	morning, tomorrow
el clima	climate
el cargo	charge, position
permanecer	to remain, to stay [p...]
el avión	airplane
la línea	line (not fila or raya)
casar	to marry
pesar	to weigh
llenar	to fill
después	after
la reunión	meeting (not junta)
traer	to bring
causar	to cause (not ocasionar)
el apellido	surname
el tren	train
la plaza	(town) square
demostrar	to demonstrate, show
la residencia	residence (not "el domicilio")
aparecer	to appear
el cuadro	square, painting, bed (c...)
relacionar	to relate, to connect, to link
soler	to usually/customarily do something, in the habit of doing something
la teoría	theory
la empresa	company (not "la compañía"), enterprise
la espada	sword
el cerebro	brain
estar	to be (temporary qualities/states, location, feeling)
bastar	to be enough
catorce	fourteen
la pareja	couple (not "par")
abrir	to open
la raza	race (ethnicity)
moreno	brunette; dark-skinned
propiamente	properly (p...)
mandar	to send, to command, to order
la cuadra	block (in a neighborhood) (not "la manzana")
el funcionario	functionary, civil servant
doblar	to double, to fold, to bend, to turn
bajo	short, low
el fútbol	football, soccer
manejar	to manage, drive, handle
estadounidense	American (not americano)
el ambiente	environment, atmosphere (not entorno)
suponer	to suppose, to assume
demás	(the) rest of, (the) others (No Article)
viejo	old [v...]
el sexo	sex, gender
el título	title, college degree
el bar	bar, pub
el amigo	friend
conocimos (a una persona)	we met (a person)
según	according to (not "de acuerdo con")
profundo	deep (not hondo)
